block,stage,treatment,rep,fs,fms,y,etr,fo,fm,fvm,fvo,aphids ,fresh_weight_g,dry_weight_g
2,flow,Flow Infested,8,186,748,0.751,29.6,238,987,0.758,3.1,1159,80.42,17.00103978
2,flow,Flow Infested,9,183,737,0.751,37.8,235,996,0.764,3.238,2017,67.51,15.23867029
2,flow,Flow Infested,10,185,765,0.758,17.5,249,1027,0.757,3.124,1630,79.64,17.51297297
1,postflow,Post Aphid Free,1,222,709,0.686,50.1,270,912,0.703,2.377,0,96.27,27.54232349
1,postflow,Post Aphid Free,2,187,558,0.664,47.6,220,828,0.734,2.763,0,96.6,22.04794621
1,postflow,Post Aphid Free,3,208,693,0.699,44.3,243,1004,0.757,3.131,0,97.47,25.15504278
1,postflow,Post Aphid Free,4,233,778,0.7,65.2,253,955,0.735,2.774,0,129.42,30.96928376
1,postflow,Post Aphid Free,5,237,749,0.683,61.6,264,963,0.725,2.647,0,89.53,23.20015243
1,postflow,Post Aphid Free,6,222,703,0.684,33,256,945,0.729,2.691,0,97.89,24.62457576
1,postflow,Post Aphid Free,7,212,799,0.734,29.2,259,1143,0.773,3.413,0,77.88,23.31206426
1,postflow,Post Aphid Free,8,199,695,0.713,30.5,245,914,0.731,2.73,0,92.78,20.31812442
1,postflow,Post Aphid Free,9,185,681,0.728,87.1,203,826,0.754,3.068,0,112.8,23.55941783
1,postflow,Post Aphid Free,10,208,775,0.731,27,209,909,0.77,3.349,0,99.07,25.69900176
2,postflow,Post Aphid Free,1,187,734,0.745,36.2,258,955,0.729,2.701,0,123.18,31.25144177
2,postflow,Post Aphid Free,2,184,695,0.735,34.5,248,893,0.722,2.6,0,106.98,27.01538395
2,postflow,Post Aphid Free,3,223,810,0.724,13.9,272,973,0.72,2.577,0,95.89,24.23552601
2,postflow,Post Aphid Free,4,182,663,0.725,34.4,230,902,0.745,2.921,0,109.02,25.5465147
2,postflow,Post Aphid Free,5,197,533,0.63,20.1,226,697,0.675,2.084,0,149.23,33.33159414
2,postflow,Post Aphid Free,6,275,796,0.654,33.2,303,1059,0.713,2.495,0,104.56,24.97452229
2,postflow,Post Aphid Free,7,227,717,0.683,38.1,264,876,0.698,2.318,0,120.73,30.19963292
2,postflow,Post Aphid Free,8,238,890,0.732,33.8,262,923,0.716,2.522,0,136.48,29.06518519
2,postflow,Post Aphid Free,9,189,713,0.734,20.3,226,915,0.753,3.048,0,102.9,25.82836209
2,postflow,Post Aphid Free,10,182,729,0.75,20.4,245,956,0.743,2.902,0,135.41,30.26317465
1,postflow,Post Infested,1,192,600,0.68,30.2,233,885,0.736,2.798,390,120.72,30.91935056
1,postflow,Post Infested,2,190,708,0.731,45.7,213,902,0.763,3.234,510,109.77,23.35140704
1,postflow,Post Infested,3,212,730,0.709,41.9,241,863,0.72,2.58,1711,135.56,30.90902943
1,postflow,Post Infested,4,219,661,0.668,53.2,220,859,0.743,2.904,367,116.6,28.55583325
1,postflow,Post Infested,5,261,728,0.641,59.2,217,721,0.699,2.322,634,95.7,24.29520694
1,postflow,Post Infested,6,231,788,0.706,63.1,235,940,0.75,3,63,127.88,30.38377948
1,postflow,Post Infested,7,214,703,0.695,64.2,242,876,0.723,2.619,295,106.33,25.34990049
1,postflow,Post Infested,8,203,775,0.738,44,240,961,0.75,3.004,495,118.22,25.78277137
1,postflow,Post Infested,9,220,752,0.707,33.5,237,995,0.761,3.198,99,129.84,27.97894969
1,postflow,Post Infested,10,244,717,0.659,33.4,277,1053,0.736,2.801,219,81.44,25.37382313
2,postflow,Post Infested,1,206,755,0.727,46.7,232,923,0.748,2.978,358,148.74,32.16870668
2,postflow,Post Infested,2,220,754,0.708,49,229,920,0.751,3.017,1771,108.84,17.24568677
2,postflow,Post Infested,3,200,714,0.719,39.5,221,874,0.747,2.954,2731,138.04,29.77490698
2,postflow,Post Infested,4,228,723,0.684,14,268,963,0.721,2.593,5674,163.35,38.18208419
2,postflow,Post Infested,5,248,833,0.702,19.4,272,1035,0.737,2.805,1104,137.91,32.1288046
2,postflow,Post Infested,6,233,788,0.704,26,272,928,0.706,2.411,5989,123.27,28.25725928
2,postflow,Post Infested,7,203,734,0.723,14.8,255,929,0.725,2.643,2567,140.96,28.86392619
2,postflow,Post Infested,8,180,661,0.727,18.6,231,937,0.753,3.056,3472,133.25,28.25076061
2,postflow,Post Infested,9,172,739,0.767,39.2,244,997,0.755,3.086,4821,117.76,24.63178293
2,postflow,Post Infested,10,149,582,0.743,37.7,248,999,0.751,3.028,3522,105.76,23.87289991
