Block,treatment,stage,rep,fs,fms,y,etr,fo,fm,fvm,fvo,aphids ,fresh_weight_g,dry_weight_g
2,Flow Infested,flow,3,199,687,0.71,17.8,225,831,0.729,2.693,1861,66.17,22.2218439
2,Flow Infested,flow,4,202,692,0.708,32.1,235,905,0.74,2.851,1959,84.71,25.50702504
2,Flow Infested,flow,5,232,779,0.702,27.1,274,985,0.721,2.594,1897,67.43,20.55398979
2,Flow Infested,flow,6,185,635,0.708,28.5,238,885,0.731,2.718,1227,61.16,18.20278931
2,Flow Infested,flow,7,175,752,0.767,14.1,208,913,0.772,3.389,2850,68.32,20.06798414
2,Flow Infested,flow,8,199,774,0.742,10.5,229,1007,0.772,3.397,2980,64.4,20.75796947
2,Flow Infested,flow,9,208,750,0.722,20,253,984,0.742,2.889,1126,55.04,17.49926457
2,Flow Infested,flow,10,192,751,0.744,11.2,242,1036,0.766,3.28,1392,71.54,24.41791138
2,Post Infested,post,1,175,731,0.76,15.3,216,942,0.77,3.361,883,58.92,20.51688609
2,Post Infested,post,2,205,781,0.737,39.3,225,929,0.757,3.128,457,51.34,15.51465131
2,Post Infested,post,3,189,715,0.735,31.7,239,949,0.748,2.97,871,58.28,19.00632359
2,Post Infested,post,4,223,758,0.705,30.4,255,959,0.7634,2.76,541,44.51,16.27651195
2,Post Infested,post,5,180,726,0.752,36.9,209,890,0.7654,3.258,1967,37.97,12.59850184
2,Post Infested,post,6,226,764,0.704,29.8,247,931,0.734,2.769,687,47.29,16.1498458
2,Post Infested,post,7,184,750,0.754,8.5,234,1024,0.771,3.376,948,63.3,20.88203218
2,Post Infested,post,8,151,540,0.72,29.3,202,816,0.752,3.039,1030,69.29,23.33819572
2,Post Infested,post,9,158,650,0.756,13,260,1097,0.762,3.219,565,63.71,19.67210184
2,Post Infested,post,10,181,712,0.745,15.9,216,989,0.781,3.578,474,71.28,23.14942456
